,adni,camelyon,gtex,tcga,UKB Biobank,Total
Deep learning,64.89795918367346,95.52238805970148,54.891304347826086,41.23711340206185,77.54010695187165,66.96340257171117
Tree-based ensemble,25.30612244897959,5.970149253731343,14.673913043478262,13.402061855670103,14.973262032085561,15.33135509396637
Linear / GLM,31.428571428571427,3.9800995024875623,58.152173913043484,34.02061855670103,45.98930481283423,34.025717111770525
Kernel / instance-based,38.36734693877551,5.472636815920398,12.5,12.886597938144329,10.695187165775401,17.11177052423343
Survival models,8.979591836734693,1.4925373134328357,39.67391304347826,69.58762886597938,14.973262032085561,25.816023738872403
Probabilistic / statistical,12.244897959183673,0.0,17.934782608695652,2.5773195876288657,11.76470588235294,8.902077151335313
Ensemble / stacking,22.448979591836736,7.960199004975125,8.152173913043478,10.824742268041238,16.577540106951872,13.649851632047477
Other classical ML,11.428571428571429,7.462686567164178,2.1739130434782608,10.824742268041238,5.88235294117647,7.81404549950544
Papers (N),245.0,201.0,184.0,194.0,187.0,1011.0
