,adni,gtex,mpower,NHANES,radar_cns,studentlife,tcga,UKB Biobank,Total
Deep learning,76.28865979381443,69.23076923076923,77.31958762886599,50.0,79.72972972972973,68.46846846846847,57.692307692307686,82.0,74.23971377459749
Tree-based ensemble,48.45360824742268,19.230769230769234,51.546391752577314,0.0,36.486486486486484,46.846846846846844,21.153846153846153,28.000000000000004,39.35599284436494
Linear / GLM,41.23711340206185,53.84615384615385,43.29896907216495,50.0,25.675675675675674,32.432432432432435,42.30769230769231,59.0,41.681574239713775
Kernel / instance-based,59.79381443298969,19.230769230769234,39.175257731958766,0.0,22.972972972972975,36.03603603603604,23.076923076923077,14.000000000000002,32.91592128801431
Survival models,12.371134020618557,38.46153846153847,5.154639175257731,50.0,8.108108108108109,6.306306306306306,53.84615384615385,10.0,14.132379248658319
Probabilistic / statistical,16.49484536082474,15.384615384615385,22.68041237113402,0.0,24.324324324324326,16.216216216216218,5.769230769230769,16.0,17.352415026833633
Ensemble / stacking,46.391752577319586,19.230769230769234,35.051546391752574,0.0,25.675675675675674,16.216216216216218,23.076923076923077,21.0,27.549194991055455
Other classical ML,20.618556701030926,0.0,25.773195876288657,50.0,12.162162162162163,31.53153153153153,15.384615384615385,13.0,19.856887298747765
Papers (N),97.0,26.0,97.0,2.0,74.0,111.0,52.0,100.0,559.0
