,adni,gtex,midus,mpower,nhanes,radar_cns,studentlife,tcga,ukb_imaging,Total
Linear / GLM,70.1,84.6,0.0,57.7,50.0,39.2,51.4,67.3,86.0,63.1
Deep learning,192.8,100.0,100.0,193.8,100.0,152.7,170.3,109.6,170.0,166.5
Survival models,15.5,61.5,0.0,6.2,50.0,13.5,6.3,94.2,15.0,21.2
Tree-based ensemble,68.0,19.2,0.0,67.0,0.0,50.0,70.3,42.3,46.0,56.9
Kernel / instance-based,67.0,23.1,0.0,48.5,0.0,25.7,50.5,28.8,16.0,39.9
Other classical ML,20.6,0.0,0.0,29.9,50.0,14.9,35.1,15.4,13.0,21.6
Probabilistic / statistical,21.6,15.4,0.0,28.9,0.0,37.8,22.5,5.8,24.0,23.7
Ensemble / stacking,46.4,19.2,0.0,35.1,0.0,25.7,16.2,23.1,21.0,27.5
Papers (N),97.0,26.0,2.0,97.0,2.0,74.0,111.0,52.0,100.0,561.0
