,eICU,ELSA,HRS,MIDUS,MIMIC,NHANES,NOAA,OpenAQ,UKB Biobank,Total
Deep learning,37.26235741444867,24.571428571428573,14.084507042253522,20.238095238095237,49.6551724137931,15.789473684210526,41.37931034482759,77.14285714285715,71.42857142857143,44.65675866949752
Tree-based ensemble,45.247148288973385,11.428571428571429,7.042253521126761,4.761904761904762,56.55172413793104,8.421052631578947,3.4482758620689653,45.714285714285715,14.824797843665769,27.74239207360226
Linear / GLM,57.03422053231939,72.57142857142857,63.38028169014085,70.23809523809523,57.58620689655173,82.10526315789474,37.93103448275862,37.142857142857146,43.126684636118604,57.324840764331206
Kernel / instance-based,16.730038022813687,4.571428571428571,8.450704225352112,0.0,31.724137931034484,2.1052631578947367,0.0,11.428571428571429,8.355795148247978,13.234253361641896
Survival models,26.23574144486692,22.857142857142858,26.76056338028169,15.476190476190476,18.275862068965516,18.947368421052634,0.0,0.0,16.172506738544474,19.24982307147912
Probabilistic / statistical,9.125475285171103,8.0,11.267605633802818,5.952380952380952,7.586206896551724,3.1578947368421053,0.0,17.142857142857142,14.555256064690028,9.62491153573956
Ensemble / stacking,16.34980988593156,6.2857142857142865,1.4084507042253522,0.0,18.275862068965516,2.1052631578947367,27.586206896551722,37.142857142857146,10.781671159029651,12.101910828025478
Other classical ML,20.53231939163498,6.2857142857142865,0.0,0.0,25.862068965517242,2.1052631578947367,3.4482758620689653,14.285714285714285,5.929919137466308,12.031139419674451
Papers (N),263.0,175.0,71.0,84.0,290.0,95.0,29.0,35.0,371.0,1413.0
