dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,171,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank",https://doi.org/10.1038/s41467-024-52310-9,M,1,TRUE,LASSO; Logistic Regression; Cox Proportional Hazards; Kaplan–Meier; Reinforcement Learning,Linear / GLM; Other classical ML; Survival models,TRUE,Cox Proportional Hazards,Survival models,TRUE,ok,10.1038/s41467-024-52310-9,https://openalex.org/W4402552274,https://doi.org/10.1038/s41467-024-52310-9,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank","The metabolomic profile of aging is complex. Here, we analyse 325 nuclear magnetic resonance (NMR) biomarkers from 250,341 UK Biobank participants, identifying 54 representative aging-related biomarkers associated with all-cause mortality. We conduct genome-wide association studies (GWAS) for these 325 biomarkers using whole-genome sequencing (WGS) data from 95,372 individuals and perform multivariable Mendelian randomization (MVMR) analyses, discovering 439 candidate ""biomarker - disease"" causal pairs at the nominal significance level. We develop a metabolomic aging score that outperforms other aging metrics in predicting short-term mortality risk and exhibits strong potential for discriminating aging-accelerated populations and improving disease risk prediction. A longitudinal analysis of 13,263 individuals enables us to calculate a metabolomic aging rate which provides more refined aging assessments and to identify candidate anti-aging and pro-aging NMR biomarkers. Taken together, our study has presented a comprehensive aging-related metabolomic profile and highlighted its potential for personalized aging monitoring and early disease intervention.","Shiyu Zhang, Zheng Wang, Yijing Wang, et al.",Nature Communications,2024,9/15/2024,risk prediction; prediction,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Linear / GLM,LASSO,FALSE,Linear / GLM;Survival models,LASSO;Logistic Regression;Cox Proportional Hazards;Kaplan–Meier
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,95,"Statistical machine learning of sleep and physical activity phenotypes from sensor data in 96,220 UK Biobank participants",https://doi.org/10.1038/s41598-018-26174-1,M,1,TRUE,Transformer; Random Forest; Linear Regression; Hidden Markov Model; Markov Model; Decision Tree,Deep learning; Linear / GLM; Other classical ML; Probabilistic / statistical; Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1038/s41598-018-26174-1,https://openalex.org/W2756121211,https://doi.org/10.1038/s41598-018-26174-1,"Statistical machine learning of sleep and physical activity phenotypes from sensor data in 96,220 UK Biobank participants","Current public health guidelines on physical activity and sleep duration are limited by a reliance on subjective self-reported evidence. Using data from simple wrist-worn activity monitors, we developed a tailored machine learning model, using balanced random forests with Hidden Markov Models, to reliably detect a number of activity modes. We show that physical activity and sleep behaviours can be classified with 87% accuracy in 159,504 minutes of recorded free-living behaviours from 132 adults. These trained models can be used to infer fine resolution activity patterns at the population scale in 96,220 participants. For example, we find that men spend more time in both low- and high- intensity behaviours, while women spend more time in mixed behaviours. Walking time is highest in spring and sleep time lowest during the summer. This work opens the possibility of future public health guidelines informed by the health consequences associated with specific, objectively measured, physical activity and sleep behaviours.","Matthew Willetts, Sven Hollowell, Louis J. M. Aslett, et al.",Scientific Reports,2018,5/15/2018,machine learning; random forest; hidden markov model,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Tree-based ensemble,Random Forest,FALSE,Tree-based ensemble;Linear / GLM;Probabilistic / statistical;Other classical ML,Random Forest;Linear Regression;Hidden Markov Model;Markov Model;Decision Tree
adni,openalex_adni_M_ml_top350.csv,157,A comparison of machine learning methods for survival analysis of high-dimensional clinical data for dementia prediction,https://doi.org/10.1038/s41598-020-77220-w,M,2,TRUE,DNN; AdaBoost; Gradient Boosting; Random Forest; XGBoost; Elastic Net; LASSO; Linear Regression; Logistic Regression; Ridge Regression; Support Vector Machine; Cox Proportional Hazards; Random Survival Forest; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Survival models; Tree-based ensemble,TRUE,Cox Proportional Hazards,Survival models,TRUE,ok,10.1038/s41598-020-77220-w,https://openalex.org/W3107095885,https://doi.org/10.1038/s41598-020-77220-w,A comparison of machine learning methods for survival analysis of high-dimensional clinical data for dementia prediction,"Data collected from clinical trials and cohort studies, such as dementia studies, are often high-dimensional, censored, heterogeneous and contain missing information, presenting challenges to traditional statistical analysis. There is an urgent need for methods that can overcome these challenges to model this complex data. At present there is no cure for dementia and no treatment that can successfully change the course of the disease. Machine learning models that can predict the time until a patient develops dementia are important tools in helping understand dementia risks and can give more accurate results than traditional statistical methods when modelling high-dimensional, heterogeneous, clinical data. This work compares the performance and stability of ten machine learning algorithms, combined with eight feature selection methods, capable of performing survival analysis of high-dimensional, heterogeneous, clinical data. We developed models that predict survival to dementia using baseline data from two different studies. The Sydney Memory and Ageing Study (MAS) is a longitudinal cohort study of 1037 participants, aged 70-90 years, that aims to determine the effects of ageing on cognition. The Alzheimer's Disease Neuroimaging Initiative (ADNI) is a longitudinal study aimed at identifying biomarkers for the early detection and tracking of Alzheimer's disease. Using the concordance index as a measure of performance, our models achieve maximum performance values of 0.82 for MAS and 0.93 For ADNI.","Annette Spooner, Emily Chen, Arcot Sowmya, et al.",Scientific Reports,2020,11/23/2020,machine learning; prediction; algorithm; survival analysis,M,,openalex_adni_M_ml_top350.csv,TRUE,Survival models,Cox Proportional Hazards,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Kernel / instance-based;Survival models;Ensemble / stacking,DNN;AdaBoost;Gradient Boosting;Random Forest;XGBoost;Elastic Net;LASSO;Linear Regression;Logistic Regression;Ridge Regression;Support Vector Machine;Cox Proportional Hazards;Random Survival Forest;Ensemble
studentlife,openalex_studentlife_M_ml_top350.csv,54,Anomaly-resilient geofencing and predictive navigation in IoT environments using machine learning and federated learning for metaverse workplaces and smart shopping malls,https://doi.org/10.1038/s41598-025-33856-0,M,3,TRUE,Autoencoder; DNN; LSTM; MLP; RNN; Transformer; Support Vector Machine; k-Nearest Neighbors; Markov Model; Ensemble; Federated Learning; Reinforcement Learning,Deep learning; Ensemble / stacking; Kernel / instance-based; Other classical ML; Probabilistic / statistical,TRUE,LSTM,Deep learning,TRUE,ok,10.1038/s41598-025-33856-0,https://openalex.org/W7124769151,https://doi.org/10.1038/s41598-025-33856-0,Anomaly-resilient geofencing and predictive navigation in IoT environments using machine learning and federated learning for metaverse workplaces and smart shopping malls,"The rapid convergence of physical and digital environments is redefining user interactions in both professional and retail sectors. While the concept of the Metaverse offers new avenues for immersive remote collaboration, complex physical venues such as shopping malls require intelligent optimization to mitigate navigational inefficiencies and enhance user satisfaction. This research integrates augmented reality (AR), virtual reality (VR), and the Metaverse alongside machine learning (ML) and Federated Learning (FL) to create virtual spaces for workplace meetings in the Meta Workplaces Monitoring System (MetaWMS) and an active navigation application for shopping malls, the Meta Shopping Navigation System (MetaSNS). To ensure data integrity within these IoT environments, anomaly detection is applied prior to geofencing to filter out spurious Wi-Fi network signatures, such as mobile hotspots. Validated against the Aegean Wi-Fi Intrusion Dataset 3 (AWID3), the proposed One-Class SVM gatekeeper achieves a detection accuracy of 93.5%, significantly outperforming KNN (86.6%) and Isolation Forest (67.4%). Geofencing is then used to define virtual perimeters, enabling location-specific AR experiences. Building on previous work in indoor geofence detection, this paper extends the framework to support intelligent navigation using the large-scale Microsoft Research Indoor Location dataset. Sequence Prediction is performed using a Long Short-Term Memory (LSTM) architecture to forecast users’ next likely destinations, achieving prediction accuracies of 59%, 77%, and 83% for top-1, top-3, and top-5 recommendations, respectively. To preserve privacy, Federated Learning (FL) is employed so that only model weights, rather than raw data, are shared with the server, introducing a marginal accuracy loss of 2–5% while ensuring privacy-preserving personalization.","Noor El-Deen M. Mohamed, Mahmoud A. Shafea, Mostafa M. Abdelhakam",Scientific Reports,2026,1/19/2026,machine learning; prediction; predictive; svm; lstm; knn,M,,openalex_studentlife_M_ml_top350.csv,TRUE,Deep learning,LSTM,FALSE,Deep learning;Kernel / instance-based;Probabilistic / statistical;Ensemble / stacking;Other classical ML,DNN;LSTM;Transformer;Support Vector Machine;k-Nearest Neighbors;Markov Model;Ensemble;Federated Learning
studentlife,openalex_studentlife_M_ml_top350.csv,63,STUDENT ACADEMIC PERFORMANCE PREDICTION,https://doi.org/10.5281/zenodo.7295209,M,1,TRUE,LSTM,Deep learning,TRUE,LSTM,Deep learning,TRUE,ok,10.5281/zenodo.7295209,https://openalex.org/W4308269420,https://doi.org/10.5281/zenodo.7295209,STUDENT ACADEMIC PERFORMANCE PREDICTION,"On most modern university campuses, digital data trails from many sources that cover various facets of student life are kept on a regular basis. However, it is still difficult to I combine these data to get a comprehensive picture of a student, (ii) utilise these data to predict academic achievement effectively, and (iii) use such predictions to encourage positive engagement of students with the university. In this project, a model called Augmented Education (AugmentED) is suggested as a first solution to this issue. In our work, (1) the first step is to run an experiment based on a real-world campus dataset of college students (N = 156) that compiles multisource behavioural data including both inside- and outside-the-classroom behaviour as well as online and offline learning. In particular, metrics measuring the linear and nonlinear behavioural changes (e.g., regularity and stability) of campus lifestyles are estimated, and features representing dynamic changes in temporal lifestyle patterns are extracted by the use of long short-term memory in order to gain in-depth insight into the features leading to excellent or poor performance (LSTM). Next, classification algorithms based on machine learning are created to forecast academic success. (3) Visualized feedback is aimed to help students (particularly at-risk students) communicate with the university more effectively and strike a balance between their personal and academic lives. The results of the studies demonstrate how well the AugmentED model can forecast students' academic achievement.",P. Sreekala Mr. K. Kumara Swamy,Zenodo (CERN European Organization for Nuclear Research),2022,11/5/2022,machine learning; prediction; classification; algorithm; lstm,M,,openalex_studentlife_M_ml_top350.csv,TRUE,Deep learning,LSTM,FALSE,Deep learning,DNN;LSTM
mpower,openalex_mpower_M_ml_top350.csv,14,Smartphone-based digital biomarkers for Parkinson’s disease in a remotely-administered setting,https://doi.org/10.1101/2021.01.13.21249660,M,1,TRUE,Random Forest,Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1101/2021.01.13.21249660,https://openalex.org/W3121054808,https://doi.org/10.1101/2021.01.13.21249660,Smartphone-based digital biomarkers for Parkinson’s disease in a remotely-administered setting,"ABSTRACT Smartphone-based digital biomarker (DB) assessments provide objective measures of daily-life tasks and thus hold the promise to improve diagnosis and monitoring of Parkinson’s disease (PD). To date, little is known about which tasks perform best for these purposes and how different confounds including comorbidities, age and sex affect their accuracy. Here we systematically assess the ability of common self-administered smartphone-based tasks to differentiate PD patients and healthy controls (HC) with and without accounting for the above confounds. Using a large cohort of PD patients and healthy volunteers acquired in the mPower study, we extracted about 700 features commonly reported in previous PD studies for gait, balance, voice and tapping tasks. We perform a series of experiments systematically assessing the effects of age, sex and comorbidities on the accuracy of the above tasks for differentiation of PD patients and HC using several machine learning algorithms. When accounting for age, sex and comorbidities, the highest balanced accuracy on hold-out data (73%) was achieved using random forest when combining all tasks followed by tapping using relevance vector machine (67%). Only moderate accuracies were achieved for other tasks (60% for balance, 56% for gait and 53% for voice data). Not accounting for the confounders consistently yielded higher accuracies of up to 77% when combining all tasks. Our results demonstrate the importance of controlling DB data for age and comorbidities.","María José Goñi, Simon B. Eickhoff, Mehran Sahandi Far, et al.",medRxiv,2021,1/15/2021,machine learning; algorithm; random forest,M,smartphone,openalex_mpower_M_ml_top350.csv,TRUE,Tree-based ensemble,Random Forest,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Kernel / instance-based;Ensemble / stacking;Other classical ML,DNN;Random Forest;LASSO;Support Vector Machine;Ensemble;Decision Tree
radar_cns,openalex_radar_cns_M_ml_top350.csv,304,Predicting Changes in Depression Severity Using the PSYCHE-D (Prediction of Severity Change-Depression) Model Involving Person-Generated Health Data: Longitudinal Case-Control Observational Study,https://doi.org/10.2196/34148,M,2,TRUE,Gradient Boosting; LightGBM; Random Forest; Support Vector Machine; Ensemble,Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,TRUE,LightGBM,Tree-based ensemble,TRUE,ok,10.2196/34148,https://openalex.org/W4220940844,https://doi.org/10.2196/34148,Predicting Changes in Depression Severity Using the PSYCHE-D (Prediction of Severity Change-Depression) Model Involving Person-Generated Health Data: Longitudinal Case-Control Observational Study,These results demonstrate that low-burden PGHD can be the basis of accurate and timely warnings that an individual's mental health may be deteriorating. We hope this work will serve as a basis for improved engagement and treatment of individuals experiencing depression.,"Mariko Makhmutova, Raghu Kainkaryam, Marta Ferreira, et al.",JMIR mhealth and uhealth,2022,2/11/2022,prediction,M,,openalex_radar_cns_M_ml_top350.csv,TRUE,Ensemble / stacking,Ensemble,FALSE,Tree-based ensemble;Kernel / instance-based;Ensemble / stacking,Gradient Boosting;LightGBM;Random Forest;Support Vector Machine;Ensemble
mpower,openalex_mpower_M_ml_top350.csv,158,Disentangling personalized treatment effects from “time-of-the-day” confounding in mobile health studies,https://doi.org/10.1371/journal.pone.0271766,M,3,TRUE,CNN; DNN; RNN; Transformer; Linear Regression; ARIMA,Deep learning; Linear / GLM; Probabilistic / statistical,TRUE,ARIMA,Probabilistic / statistical,TRUE,ok,10.1371/journal.pone.0271766,https://openalex.org/W4289851182,https://doi.org/10.1371/journal.pone.0271766,Disentangling personalized treatment effects from “time-of-the-day” confounding in mobile health studies,"Ideally, a patient's response to medication can be monitored by measuring changes in performance of some activity. In observational studies, however, any detected association between treatment (""on-medication"" vs ""off-medication"") and the outcome (performance in the activity) might be due to confounders. In particular, causal inferences at the personalized level are especially vulnerable to confounding effects that arise in a cyclic fashion. For quick acting medications, effects can be confounded by circadian rhythms and daily routines. Using the time-of-the-day as a surrogate for these confounders and the performance measurements as captured on a smartphone, we propose a personalized statistical approach to disentangle putative treatment and ""time-of-the-day"" effects, that leverages conditional independence relations spanned by causal graphical models involving the treatment, time-of-the-day, and outcome variables. Our approach is based on conditional independence tests implemented via standard and temporal linear regression models. Using synthetic data, we investigate when and how residual autocorrelation can affect the standard tests, and how time series modeling (namely, ARIMA and robust regression via HAC covariance matrix estimators) can remedy these issues. In particular, our simulations illustrate that when patients perform their activities in a paired fashion, positive autocorrelation can lead to conservative results for the standard regression approach (i.e., lead to deflated true positive detection), whereas negative autocorrelation can lead to anticonservative behavior (i.e., lead to inflated false positive detection). The adoption of time series methods, on the other hand, leads to well controlled type I error rates. We illustrate the application of our methodology with data from a Parkinson's disease mobile health study.","Elias Chaibub Neto, Thanneer M. Perumal, Abhishek Pratap, et al.",PLoS ONE,2022,8/4/2022,regression model; linear regression; ann,M,smartphone; mobile health,openalex_mpower_M_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM;Probabilistic / statistical,Linear Regression;ARIMA
adni,openalex_adni_M_ml_top350.csv,169,Combining Polygenic Hazard Score With Volumetric MRI and Cognitive Measures Improves Prediction of Progression From Mild Cognitive Impairment to Alzheimer's Disease,https://doi.org/10.3389/fnins.2018.00260,M,1,TRUE,Transformer; Cox Proportional Hazards; Kaplan–Meier; Mixed-Effects Model,Deep learning; Probabilistic / statistical; Survival models,TRUE,Kaplan–Meier,Survival models,TRUE,ok,10.3389/fnins.2018.00260,https://openalex.org/W2802185677,https://doi.org/10.3389/fnins.2018.00260,Combining Polygenic Hazard Score With Volumetric MRI and Cognitive Measures Improves Prediction of Progression From Mild Cognitive Impairment to Alzheimer's Disease,"Improved prediction of progression to Alzheimer's Disease (AD) among older individuals with mild cognitive impairment (MCI) is of high clinical and societal importance. We recently developed a polygenic hazard score (PHS) that predicted age of AD onset above and beyond <i>APOE</i>. Here, we used data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) to further explore the potential clinical utility of PHS for predicting AD development in older adults with MCI. We examined the predictive value of PHS alone and in combination with baseline structural magnetic resonance imaging (MRI) data on performance on the Mini-Mental State Exam (MMSE). In survival analyses, PHS significantly predicted time to progression from MCI to AD over 120 months (<i>p</i> = 1.07e-5), and PHS was significantly more predictive than <i>APOE</i> alone (<i>p</i> = 0.015). Combining PHS with baseline brain atrophy score and/or MMSE score significantly improved prediction compared to models without PHS (three-factor model <i>p</i> = 4.28e-17). Prediction model accuracies, sensitivities and area under the curve were also improved by including PHS in the model, compared to only using atrophy score and MMSE. Further, using linear mixed-effect modeling, PHS improved the prediction of change in the Clinical Dementia Rating-Sum of Boxes (CDR-SB) score and MMSE over 36 months in patients with MCI at baseline, beyond both <i>APOE</i> and baseline levels of brain atrophy. These results illustrate the potential clinical utility of PHS for assessment of risk for AD progression among individuals with MCI both alone, or in conjunction with clinical measures of prodromal disease including measures of cognitive function and regional brain atrophy.","Karolina Kauppi, Chun Chieh Fan, Linda K. McEvoy, et al.",Frontiers in Neuroscience,2018,4/30/2018,prediction model; prediction; predictive; area under the curve,M,,openalex_adni_M_ml_top350.csv,TRUE,Survival models,Cox Proportional Hazards,FALSE,Survival models;Probabilistic / statistical,Cox Proportional Hazards;Kaplan–Meier;Mixed-Effects Model
adni,openalex_adni_M_ml_top350.csv,109,Weighted Random Support Vector Machine Clusters Analysis of Resting-State fMRI in Mild Cognitive Impairment,https://doi.org/10.3389/fpsyt.2018.00340,M,2,TRUE,Random Forest; Support Vector Machine; Ensemble,Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,TRUE,Ensemble,Ensemble / stacking,TRUE,ok,10.3389/fpsyt.2018.00340,https://openalex.org/W2883400500,https://doi.org/10.3389/fpsyt.2018.00340,Weighted Random Support Vector Machine Clusters Analysis of Resting-State fMRI in Mild Cognitive Impairment,"The identification of abnormal cognitive decline at an early stage becomes an increasingly significant conundrum to physicians and is of major interest in the studies of mild cognitive impairment (MCI). Support vector machine (SVM) as a high-dimensional pattern classification technique is widely employed in neuroimaging research. However, the application of a single SVM classifier may be difficult to achieve the excellent classification performance because of the small-sample size and noise of imaging data. To address this issue, we propose a novel method of the weighted random support vector machine cluster (WRSVMC) in which multiple SVMs were built and different weights were given to corresponding SVMs with different classification performances. We evaluated our algorithm on resting state functional magnetic resonance imaging (RS-fMRI) data of 93 MCI patients and 105 healthy controls (HC) from the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort. The maximum accuracy given by the WRSVMC is 87.67%, demonstrating excellent diagnostic power. Furthermore, the most discriminative brain areas have been found out as follows: gyrus rectus (REC.L), precentral gyrus (PreCG.R), olfactory cortex (OLF.L), and middle occipital gyrus (MOG.R). These findings of the paper provide a new perspective for the clinical diagnosis of MCI.","Xia-an Bi, Qian Xu, Xianhao Luo, et al.",Frontiers in Psychiatry,2018,7/25/2018,classifier; classification; algorithm; support vector machine; svm,M,,openalex_adni_M_ml_top350.csv,TRUE,Kernel / instance-based,Support Vector Machine,FALSE,Tree-based ensemble;Kernel / instance-based;Ensemble / stacking,Random Forest;Support Vector Machine;Ensemble
mpower,openalex_mpower_M_ml_top350.csv,157,"Integrating Big Data, Artificial Intelligence, and motion analysis for emerging precision medicine applications in Parkinson’s Disease",https://doi.org/10.1186/s40537-024-01023-3,M,5,TRUE,CNN; DNN; Transformer; Random Forest; Elastic Net; LASSO; Linear Regression; Ensemble,Deep learning; Ensemble / stacking; Linear / GLM; Tree-based ensemble,TRUE,Elastic Net,Linear / GLM,TRUE,ok,10.1186/s40537-024-01023-3,https://openalex.org/W4403886078,https://doi.org/10.1186/s40537-024-01023-3,"Integrating Big Data, Artificial Intelligence, and motion analysis for emerging precision medicine applications in Parkinson’s Disease","One of the key challenges in Big Data for clinical research and healthcare is how to integrate new sources of data, whose relation to disease processes are often not well understood, with multiple classical clinical measurements that have been used by clinicians for years to describe disease processes and interpret therapeutic outcomes. Without such integration, even the most promising data from emerging technologies may have limited, if any, clinical utility. This paper presents an approach to address this challenge, illustrated through an example in Parkinson's Disease (PD) management. We show how data from various sensing sources can be integrated with traditional clinical measurements used in PD; furthermore, we show how leveraging Big Data frameworks, augmented by Artificial Intelligence (AI) algorithms, can distinctively enrich the data resources available to clinicians. We showcase the potential of this approach in a cohort of 50 PD patients who underwent both evaluations with an Integrated Motion Analysis Suite (IMAS) composed of a battery of multimodal, portable, and wearable sensors and traditional Unified Parkinson's Disease Rating Scale (UPDRS)-III evaluations. Through techniques including Principal Component Analysis (PCA), elastic net regression, and clustering analysis we demonstrate how this combined approach can be used to improve clinical motor assessments and to develop personalized treatments. The scalability of our approach enables systematic data generation and analysis on increasingly larger datasets, confirming the integration potential of IMAS, whose use in PD assessments is validated herein, within Big Data paradigms. Compared to existing approaches, our solution offers a more comprehensive, multi-dimensional view of patient data, enabling deeper clinical insights and greater potential for personalized treatment strategies. Additionally, we show how IMAS can be integrated into established clinical practices, facilitating its adoption in routine care and complementing emerging methods, for instance, non-invasive brain stimulation. Future work will aim to augment our data repositories with additional clinical data, such as imaging and biospecimen data, to further broaden and enhance these foundational methodologies, leveraging the full potential of Big Data and AI.","Laura Dipietro, Uri T. Eden, Seth Elkin-Frankston, et al.",Journal Of Big Data,2024,10/30/2024,artificial intelligence; algorithm; elastic net,M,multimodal; wearable,openalex_mpower_M_ml_top350.csv,TRUE,Linear / GLM,Elastic Net,FALSE,Deep learning;Linear / GLM;Ensemble / stacking,CNN;DNN;Elastic Net;Ensemble
